What course topics are you most interested in?,Which AI filmmaking tools are you most interested in learning? (select all that apply),Would you be interested in submitting your own short course to MZed?,"If MZed opened up course creation to the community, what would motivate you to create a course? (select all that apply)",What topics could YOU teach a 30-60 minute course on?,How important is it that MZed courses come from established professionals vs. emerging creators?,Would you use a feature where the community votes on what courses should be created next?,What specific course or instructor would make you subscribe immediately?,What frustrates you most about current filmmaking education options?,Is there anything else you'd like to share with the MZed team?
"Cinematography, Animation & Motion Graphics, Audio / Sound Design, Narrative filmmaking, Color Grading, Corporate video production, Directing, Editing, Lighting, Content Creation (Youtube, TikTok, Reels), Drone Operations, Documentary filmmaking, Unreal Engine for Filmmakers","AI video editing assistants, AI color grading tools, AI upscaling/restoration, AI motion tracking","Yes, definitely interested","Free MZed Pro membership, Gear/software giveaways, Sharing my expertise with the community",coulour grading ,I prefer a mix of both,"No, I trust MZed to curate content",,price ,
Photography,Not interested in AI tools,"No, I'm not interested",I wouldn't be interested in creating courses,N/A,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",N/A,N/A,No
"AI Tools & Workflows, Color Grading, Editing, Audio / Sound Design","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools","No, I'm not interested",I wouldn't be interested in creating courses,Editing,Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content","Known Editors, like Tom Cross","Experienced professionals, but lacking in didactic skills or a truly organized lesson with serious content.",
"Content Creation (Youtube, TikTok, Reels), Business of Filmmaking, Animation & Motion Graphics, Photography, Screenwriting","Generative video AI (Runway, Pika, etc.), AI voice cloning/dubbing, AI scriptwriting/storyboarding, AI motion tracking, AI video editing assistants","Maybe, if I knew more about the process","Free MZed Pro membership, Gear/software giveaways",How to use AI tools for shorten film making,Very important - I only want courses from industry veterans,"Yes, and I would actively participate in voting",Shane Hurlbut,"Courses don’t teach the full workflow
Too theoretical, not practical enough","I believe MZed is one of the best filmmaking education platforms, but I also believe it could become truly unmatched by focusing more on practical, budget-friendly lessons for small crews and solo creators, offering complete start-to-finish project walkthroughs, providing clear learning paths from beginner to advanced, and including more hands-on assignments with downloadable resources. A stronger sense of community—such as Q&As or peer feedback—plus more diverse instructors representing documentary, commercial, wedding, and YouTube filmmaking would make the platform even more valuable. Keeping editing and color courses up to date and adding more short, focused micro-lessons would also greatly improve the learning experience."
"Editing, Narrative filmmaking, Lighting, Documentary filmmaking, Screenwriting, Audio / Sound Design, Producing, Business of Filmmaking, AI Tools & Workflows, Animation & Motion Graphics, Drone Operations, Unreal Engine for Filmmakers",AI video editing assistants,"Maybe, if I knew more about the process",Revenue share/royalties from course views,Budget Documentary Filmmaking,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",Advanced Motion Graphics,High Pricing for quality (I understand the need to compensate authors),
"Color Grading, Lighting, Cinematography, Documentary filmmaking, Editing, Producing","AI color grading tools, AI scriptwriting/storyboarding, AI video editing assistants, Generative video AI (Runway, Pika, etc.)","Maybe, if I knew more about the process","Revenue share/royalties from course views, Sharing my expertise with the community",I've produced and edited YouTube videos with a total of over 12 billion views. Producing/shooting/editing for YouTube. ,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often","Lighting for larger sets. There are 1,000 courses on lighting - they're all for run and gun and tiny crews. I want to see how to light for a larger production. ",Everything is for tiny crews only. ,
"Directing, Business of Filmmaking, Acting & Performance, Corporate video production, Editing, Screenwriting, Lighting, Video Interview and Production, Photography, Narrative filmmaking, Podcast Interview and Production, Virtual Production, Documentary filmmaking","AI upscaling/restoration, AI scriptwriting/storyboarding, AI video editing assistants, AI motion tracking","Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways, Sharing my expertise with the community, Free MZed Pro membership","""poor mans broadcasting""
maybe soon visuals with tixl",Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",Mr bloom convinced me in the beginning,me having no time besides work and family to really commit,"I love you guys but couldn't even really look into a course.
i would love to download the courses. could help get into it finally
"
"Cinematography, Narrative filmmaking, Editing, Photography","AI scriptwriting/storyboarding, AI color grading tools, AI upscaling/restoration","No, but I'd watch community-created courses",Sharing my expertise with the community,"Analog photography. 
Natural lighting. ",Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,Too often created by people who love themselves more then the their customers. ,
"Career Development & Freelancing, Business of Filmmaking, Documentary filmmaking, Cinematography, Drone Operations, Directing, Acting & Performance, Content Creation (Youtube, TikTok, Reels), Virtual Production","AI video editing assistants, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal, AI motion tracking, AI color grading tools, Generative video AI (Runway, Pika, etc.)","Maybe, if I knew more about the process","Free MZed Pro membership, Promotion on CineD.com and social channels, Gear/software giveaways, Building my personal brand/following, Sharing my expertise with the community, Revenue share/royalties from course views",Ok,Very important - I only want courses from industry veterans,"Yes, and I would actively participate in voting",Ok,Ok,Ok
"Cinematography, Lighting, Photography, Editing, Narrative filmmaking, Color Grading","AI video editing assistants, AI color grading tools, AI upscaling/restoration, AI motion tracking, Generative video AI (Runway, Pika, etc.)","No, but I'd watch community-created courses","Building my personal brand/following, Revenue share/royalties from course views",Medical consultation for narrative drama.,Somewhat important - I prefer professionals but open to others,No opinion,Narrative film directing.,Slightly boring.,Not today.
"Virtual Production, Cinematography, Editing, Color Grading","AI video editing assistants, AI color grading tools, AI upscaling/restoration, AI background removal","Maybe, if I knew more about the process","Free MZed Pro membership, Sharing my expertise with the community, Revenue share/royalties from course views",Film cameras and loading. Camera assisting. ,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting","I currently subscribe, but I am searching for a course on editing that discusses protocol and professional practice rather than platforms. Ex: file naming protocol, handling daiIies, handing off deliverables, etc.  I would also like insight into current set practices (professional, not run and gun DSLR level) in camera assisting, wireless technologies (monitors, focus, etc),operating and data management. I have yet to see any functional courses on focus pulling, image resolution and depth of field (a course I teach at college level but would like to be more informed about). I would love a course in professional assessment of lenses and camera systems (once again, not DSLR level). Content like what Abel Cine used to provide. I have enjoyed the Canon C300 MKII and Arri training videos. I was disappointed in the FX6 video and would like to see something more substantial covering the SONY systems. I was trained on the Venice, and I wish there was something comparable for the FX9 and that series.","See above. Everything I find is prosumer level, or focussed on the flash and not the regular day to day skills required on professional shoots. I can't find deeper dives into cameras, lenses and data management. I am patchworking together what I find on youtube.",All good. Thank you.
"AI Tools & Workflows, Cinematography, Narrative filmmaking, Photography, Lighting, Career Development & Freelancing, Documentary filmmaking, Color Grading, Business of Filmmaking",AI color grading tools,"No, but I'd watch community-created courses","I wouldn't be interested in creating courses, Revenue share/royalties from course views, Gear/software giveaways, Free MZed Pro membership",N/A,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
"Lighting, Virtual Production, AI Tools & Workflows, Editing, Photography, Unreal Engine for Filmmakers, Animation & Motion Graphics, Business of Filmmaking","Generative video AI (Runway, Pika, etc.), AI voice cloning/dubbing, AI color grading tools, AI scriptwriting/storyboarding, AI background removal, AI motion tracking","No, I'm not interested",Revenue share/royalties from course views,on 3d,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",,,
"Lighting, Virtual Production, Editing, Directing, AI Tools & Workflows, Color Grading, Cinematography, Drone Operations, Documentary filmmaking, Corporate video production, Content Creation (Youtube, TikTok, Reels), Video Interview and Production, Professional Software Deep-dives, Animation & Motion Graphics, Business of Filmmaking, Audio / Sound Design, Career Development & Freelancing, Narrative filmmaking","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI scriptwriting/storyboarding, AI color grading tools, AI voice cloning/dubbing, AI background removal, AI upscaling/restoration, AI motion tracking","Maybe, if I knew more about the process","Revenue share/royalties from course views, Free MZed Pro membership, Gear/software giveaways, Promotion on CineD.com and social channels, Building my personal brand/following, Sharing my expertise with the community","Web streaming 
Film production 
Sound ",Not important - good content matters more than credentials,"Yes, and I would actively participate in voting",,It doesn’t have enough hands on or it’s focus on the newest gear not techniques ,
